message,priority,word_count,response_time_hours,customer_rating,department
"URGENT: the CRM down. Hey, We have a full outage on the CRM affecting the sales team. This is urgent. The whole company is affected. I can send a screenshot if that helps. Let me know.",critical,36,3.9,,finance
the backup job problem. the backup job has been unavailable for over an hour and the sales team is affected. Deadline is tonight. Thanks.,,24,,,sales
"Small suggestion. Hi team, No action needed right now, just noting my desk chair. No hurry. Many thanks. WE NEED THIS ASAP. !!!",low,23,21.9,2,finance
"Slow performance. Good morning, Could someone check the login page? the night shift reported something odd. Whenever you get a chance. It might just be me. Cheers. THIS IS URGENT. !!!",medium,31,23.6,,finance
"URGENT:  the  print  server down. Hi team, Customer data on the print server APPEARS to have been exposed! Needs looking at immediately. The whole company is affected. Regards.",critical,28,1.5,,support
"the CRM FULL OUTAGE. Hi all, We have a full outage on the CRM affecting the finance team. We need this fixed by end of day. Could be nothing. Regards. Sorry to bother you with this.",critical,36,1.7,,engineering
"Major incident. Morning, Customer data on the email server appears to have been exposed. This is urgent. This is affecting all customers. Raising this formally. Not totally sure. Regards.",critical,29,2.2,4,
"Ple<b>a</b>se take a look. Good morning, the warehouse would like an update on the the API gateway issue from last week. Appreciate it.",medium,23,22.8,3,engineering
"Low priority note. Hello, Is there any chance we could look at the staff photo page eventually? Let me know if you need more detail. Appreciate it.",low,27,,,sales
"Need help with the print server. Good morning, the night shift is blocked because the print server keeps timing out. This is affecting all customers. Ticket reference REF-71171. Cheers.",high,29,,,support
"Issue report. Morning, the mobile app is running slower than usual for our EU users. Ticket reference REF-87340. Cheers.",medium,19,,,support
"Please take a look. Hi team, the sales team would like an update on the the reporting database issue from last week. Deadline is tonight. Could be nothing. Happy to give more information. Thank you.",medium,35,26.1,,finance
"Please take a look. Hi team, We are seeing occasional timeouts on the print server. Cheers.",medium,16,31.6,5,support
"Blocked - the HR system. Hello, the HR system is failing repeatedly and the sales team cannot complete their work! I have restarted my machine already. Regards.",high,27,4.1,4,sales
"Blocked - the backup job. Hello, Errors on the backup job are now stopping the night shift from processing anything. Everyone is impacted. Happy to give more information. Many thanks.",high,30,1.8,,support
"Idea for later. Hey, Just noticed a typo on the about page looks a bit out of date. Low priority I imagine.",low,22,58.7,2,engineering
"Idea for later. Hey, Small suggestion about the coffee machine for whenever you get to it. Let me know.",low,19,45.1,,support
"Idea for later. Morning, Could someone update the office plant rota at some point? Whenever you get a chance. Let me know.",low,22,47.9,,support
"the HR system problem. Hi, the night shift is blocked because the HR system keeps timing out. Many thanks.!!!!!!!",high,,8.3,,operations
"the HR system acting up. Hi team, We are seeing occasional timeouts on the HR system. Please escalate this. Only if you have time. Let me know.",medium,27,46.1,,engineering
"Idea for later. No action needed right now, just noting the parking spreadsheet. I can send a screenshot if that helps.",low,21,36.4,3,support
"Minor  thing.  Team,  Small suggestion about the notice board for whenever you get to it. Whenever you get a chance. I can send a screenshot if that helps. Thanks.",low,29,33.1,,operations
"Issue report. Team, A few people in all customers have mentioned the reporting database being awkward. Cheers.",medium,17,40.9,,support
"URGENT: the HR system down. Hi, the HR system has stopped processing and we are losing data! Everyone is impacted. We need this fixed by end of day. No HURRY. I have restarted my machine already. Regards.",critical,37,1.4,1,support
Low priority note. Could someone update the notice board at some point? Whenever you get a chance. Appreciate it.,low,19,,5,engineering
"Blocked - the booking system. Good morning, Errors on the booking system are now stopping our EU users from processing anything. This is urgent. This affects every branch. I have flagged this to my manager. Could be nothing. Let me know.",high,41,4.1,,engineering
"Need help with the HR system. Hi, the HR system is rejecting valid requests and the finance team has no workaround. This is affecting all customers. Thank you.",high,28,4.5,,engineering
"Minor thing. Hey, Would be nice to tidy up the office plant rota when there is time. Not totally sure. I can send a screenshot if that helps. Many thanks.",low,30,71.3,,support
Idea for later. Small suggestion about the notice board for whenever you get to it. Low priority I imagine. Regards.,low,20,,5,operations
"Idea for later. Good morning, No action needed right now, just noting the notice board. No rush at all. It might just be me.",low,24,22.6,,sales
"Small suggestion. Hey, Could someone update the parking spreadsheet at some point? Low priority I imagine! Let me know.",low,19,,,hr
"the checkout <b>page</b> not working. Hi team, the checkout page is rejecting valid requests and all customers has no workaround. We need this ASAP. The whole company is affected. Let me know if you need more detail. Many thanks.",high,39,10.5,,operations
"Issue report. Good morning, We are seeing occasional timeouts on the mobile app. It might just be me. Appreciate it.",medium,20,,,engineering
"  Minor thing. Hey, No action needed right now, just noting the coffee machine. Appreciate it.   ",low,15,30.1,,operations
"Issue report. Morning, the HR system is running slower than usual for the sales team. Appreciate it.",medium,17,24.2,4,operations
"Slow  performance.  Hi,  We are seeing occasional timeouts on the booking system! This is time critical. ONLY if you have time. Not totally sure. Appreciate it.",medium,26,24.9,4,support
"Slow performance. Hello, Could someone check the booking system? the whole office reported something odd. Let me know if you need more detail. Appreciate it.",medium,25,17.3,1,support
"Issue  report.  Team,  the login page threw an error once this morning but recovered. We need this fixed by end of day. Could be nothing. Let me know.",medium,28,24.4,,engineering
"Minor thing. Hi, Small suggestion about the coffee machine for whenever you get to it. Whenever you get a chance. Many thanks. THIS IS URGENT. !!!",low,,74.5,,support
Slow performance. We are seeing occasional timeouts on the reporting database. No hurry. Ticket reference REF-55115. Many thanks.,medium,18,,3,support
"Idea for later. Hello, Small suggestion about a typo on the about page for whenever you get to it. Let me know.",low,22,48.1,,support
"  the reporting database not working. Hey, the reporting database has been unavailable for over an hour and the whole office is affected. Many thanks.   ",high,24,7.6,1,hr
"Low priority note. Team, Small suggestion about my desk chair for whenever you get to it.",low,16,81.0,,hr
"the API gateway acting up. Good morning, the API gateway threw an error once this morning but recovered. Needs looking at immediately. Let me know.",medium,,32.7,4,operations
"Repeated failures. Hello, the customer portal is failing repeatedly and the finance team cannot complete their work. Let me know.",high,20,6.3,,sales
"the  checkout  page  not working. Hello, the checkout page has been unavailable for over an hour and the night shift is affected. The whole company is affected. I have flagged this to my manager. No rush at all. Could be nothing. Appreciate it.",high,43,4.4,2,finance
"Slow performance. Hi, We are seeing occasional timeouts on the booking system. Could be nothing. Many thanks.",medium,17,46.3,,hr
"Blocked - the booking system. Morning, the booking system has been unavailable for over an hour and the finance team is affected! This is urgent. Could be nothing. Let me know.",high,31,4.4,,support
"When you get a chance. Hi all, Would be nice to tidy up the font on the intranet when there is time. No hurry. Appreciate it.",low,26,39.3,5,sales
"Idea for <b>later.</b> Team, Small suggestion about the office plant rota for whenever you get to it. This is time critical. Sorry to bother you with this. Thank you.",low,29,56.0,,engineering
Idea for <b>later.</b> Is there any chance we could look at the office plant rota eventually? Low priority I imagine. Ticket reference REF-27981.,medium,23,20.8,,sales
"When  you  get  a chance. Hello, Could someone update the font on the intranet at some point? Low priority I imagine. Happy to give more information. Regards.",low,27,39.5,,support
"  Issue report. Hi all, We are seeing occasional timeouts on the VPN. Please treat as top priority. Deadline is tonight. No hurry. Not totally sure. Cheers.   ",medium,26,29.5,1,sales
"Major incident. Good morning, Customer data on the customer portal appears to have been exposed. We need this ASAP. This is affecting all customers. We need this fixed by end of day. It might just be me. Many thanks.",critical,39,1.8,,engineering
"Minor thing. Could someone update my desk chair at some point? I think, anyway. Cheers.",low,15,,2,support
"Small suggestion. Hi, Could someone update the meeting room projector at some point? Low priority I imagine. Let me know.",low,20,24.8,4,engineering
,low,21,89.4,,sales
"Idea for later. Good morning, Small suggestion about the font on the intranet for whenever you get to it. I have restarted my machine already. Cheers.",low,26,59.9,3,support
Major incident. We have a full outage on the login PAGE affecting our EU users. This is affecting all customers. Cheers.,critical,21,1.5,,engineering
"the checkout page acting up. Hi team, the warehouse would like an update on the the checkout page issue from last week. Thanks in advance.",low,25,,,engineering
"the mobile app FULL OUTAGE. Hi, Customer data on the mobile app appears to have been exposed! The whole company is affected. Escalating to the director. Ticket reference REF-97779. Appreciate it.",critical,31,3.7,,support
"Idea  for  later.  Morning, Just noticed the meeting room projector looks a bit out of date. Only if you have time. Ticket reference REF-12313. Regards.",low,25,32.1,5,operations
"Please take a look. Hello, A few people in the whole office have mentioned the VPN being awkward. No rush at all. Could be nothing. Cheers.",high,26,27.8,5,sales
"Repeated failures. Hi all, Errors on the payment gateway are now stopping the night shift from PROCESSING anything. This is urgent. This has to be done today. Many thanks.",high,29,10.8,,support
"the backup job problem. Hi all, the backup job is failing repeatedly and the night shift cannot complete their work. This is affecting all customers. It might just be me. Let me know.",high,33,1.3,,support
Minor thing. <b>Small</b> suggestion about the font on the intranet for whenever you get to it. It might just be me. Logged this at 12:21 today. Cheers.,low,27,29.3,,engineering
"the API gateway problem. Hi, Errors on the API gateway are now stopping the warehouse from processing anything. Please action right away. This affects every branch. Many thanks. Low priority I imagine.",high,32,10.7,,engineering
"Question about the invoice tool. Hi all, Could someone check the invoice tool? the night shift reported something odd. Regards.",medium,20,8.1,,support
"Small suggestion. Morning, No action needed right now, just noting the parking spreadsheet. Only if you have time. Cheers.",low,19,34.9,,support
Low priority note. Could someone update the office plant rota at some point? No rush at all. Thanks in advance.,medium,20,89.2,4,engineering
"When you get a chance. Team, Would be nice to tidy up a typo on the about page when there is time.",low,22,25.4,,sales
"  OUTAGE - the CRM. Team, Customer data on the CRM appears to have been exposed! Needs looking at immediately. This has to be done today. Happy to give more information. Thanks.   ",critical,31,0.7,,sales
"Issue report. Hey, the warehouse would like an update on the the HR system issue from last week. This has to be done today. Thanks in advance.",medium,27,39.4,3,sales
the warehouse scanners not working. the warehouse scanners is failing repeatedly and the support desk cannot complete their work! This has to be done today. I have flagged this to my MANAGER. Thanks.,high,,9.5,,support
"Blocked - the backup job. Hi, Errors on the backup JOB are now stopping the onboarding team from processing anything! Please escalate this. Sorry to bother you with this.",high,29,5.2,,engineering
"Slow performance. Hey, the VPN is running slower than usual for the support desk. Only if you have time. Thank you.",medium,21,34.1,,support
"Low priority note. Hey, Small suggestion about the office plant rota for whenever you get to it! Logged this at 12:37 today. Thanks in advance.",low,25,18.6,5,operations
"Emergency. Morning, Customer data on the login page appears to have been exposed. This is affecting all customers. It might just be me. Cheers. No rush at all.",critical,28,0.5,,engineering
"Question about the login page. Hi all, Could someone check the login page? the whole office reported something odd. Logged this at 16:32 today. Regards.",medium,25,,3,finance
"Minor thing. Morning, Could someone update the staff photo page at some point? Sorry to bother you with this. Logged this at 15:28 today. Regards.",low,25,28.6,,engineering
"  Issue report. Hello, We are seeing occasional timeouts on the booking system. Appreciate it.   ",medium,14,12.2,,support
"Blocked - the reporting database. Hello, the reporting database has been unavailable for over an hour and the whole office is affected. This is time critical. Raising this formally. Thanks in advance.",high,32,10.3,,support
,medium,20,40.1,,support
"Minor thing. Hi team, Is there any chance we could look at the font on the intranet eventually? Logged this at 15:44 today. Regards. THIS IS URGENT. !!!",low,28,,,hr
Idea for later. Small suggestion about the staff photo page for whenever you get to it. No rush at all. Cheers.,low,21,95.0,,engineering
"Slow performance. Team, the mobile app is running slower than usual for the night shift. Thanks in advance.",medium,18,9.0,3,hr
"Small suggestion. Team, Just noticed the office plant rota looks a bit out of date. Only if you have time. Thanks.",medium,21,,,engineering
"Question about the API gateway. Team, the API gateway is running slower than usual for the whole office. It might just be me. Many thanks.",medium,,24.4,,support
"Small suggestion. Hey, Small suggestion about the notice board for whenever you get to it. Let me know if you need more detail. Cheers.",medium,24,22.7,,operations
"Blocked - the booking system. Hi team, the finance team is blocked because the booking system keeps timing out. This affects every branch. This has to be done today. Please escalate this. Regards.!!!!!!!",high,33,8.1,3,support
"When you get a chance. Hi all, Is there any chance we could look at the meeting room projector eventually? Low priority I imagine. Let me know if you need more detail. Thank you.",low,,66.0,,support
"the email server not working. Good morning, the onboarding team is blocked because the email server keeps timing out. Needs looking at immediately. This is affecting all customers. I have flagged this to my manager. Appreciate it.",high,37,9.1,,operations
"Repeated failures. Hey, the reporting database has been unavailable for over an hour and everyone is affected. Everyone is impacted. This has to be done today. Raising this formally. Thanks in advance.!!!!!!!",high,32,6.8,5,support
"Question about the customer portal. Hi all, Could someone check the customer portal? the finance team reported something odd. Only if you have time. Thanks in advance.",medium,27,,,engineering
  the email server problem. the email server has been unavailable for over an hour and the whole office is affected. Please treat as top priority. Escalating to the director. Appreciate it.   ,high,31,11.3,,support
"Blocked - the customer portal. Team, the whole office is blocked because the customer portal keeps timing out. We need this ASAP. Thank you.",high,24,3.9,4,support
"Small suggestion. Hi team, Is there any chance we could look at the meeting room projector eventually? No hurry. Let me know.",low,22,34.3,,support
"Need help with the VPN. Hi all, We have lost access to the VPN and our EU users is stuck! Please treat as top priority. Not totally sure. Thanks.",high,29,3.7,,engineering
Need help with the CRM. the CRM has been unavailable for over an hour and the warehouse is affected. Thanks in advance.,high,22,6.7,,support
"Repeated failures. Hi team, We have lost access to the warehouse scanners and the warehouse is stuck! Please action right away. Many thanks.",critical,23,,,
"Slow performance. Hello, the warehouse would like an update on the the print server issue from last week. Ticket reference REF-43526. Thanks.",medium,22,8.7,,hr
"  Blocked - the payment gateway. Hi ALL, the whole office is blocked because the payment gateway keeps timing out. Regards.   ",critical,20,10.3,,operations
"the API gateway FULL OUTAGE. Good morning, We have a full outage on the API gateway affecting the onboarding team.",critical,20,3.8,,support
"  Blocked - the login page. Morning, the login page is rejecting valid requests and the sales team has no workaround! Let me know if you need more detail. Thanks in advance.   ",high,31,8.8,4,finance
"Minor thing. Morning, Is there any chance we could look at the meeting room projector eventually? Whenever you get a chance. Regards.",low,22,39.1,,engineering
"Low priority note. Hey, No action needed right now, just noting the notice board. Sorry to bother you with this. Regards.",low,21,68.0,,support
"Repeated failures. Hi all, We have lost access to the print server and the onboarding team is stuck. Thanks.",high,19,8.4,,support
"Issue report. <b>Morning,</b> the CRM is running slower than usual for the support desk. No rush at all. Thanks in advance.",medium,21,38.3,3,engineering
"Question about the VPN. Team, A few people in the sales team have mentioned the VPN being awkward. Thank you.",medium,20,,,sales
"Low priority note. Morning, Is there any chance we could look at my desk chair eventually? Whenever you get a chance. Happy to give more information. Thanks in advance.",low,29,91.9,,operations
the HR system problem. the HR system is rejecting valid requests and the warehouse has no workaround! Appreciate it.,,19,6.7,,operations
"Minor thing. Hi all, Small suggestion about the notice board for whenever you get to it. No rush at all. Thanks.",low,21,68.9,,operations
the CRM acting up. the CRM threw an error once this morning but recovered. This has to be done today. No hurry. Let me know if you need more detail. Regards.,medium,31,11.3,,hr
"Issue report. Hello, A few people in the support desk have mentioned the print server being awkward. Let me know.",medium,20,12.6,,sales
"the print server acting up. Hi, Could someone check the print server? all customers reported something odd. Sorry to bother you with this. Logged this at 9:48 today. Regards.",medium,29,11.0,,support
"  Question about the HR system. Hi all, everyone would like an update on the the HR system issue from last week. Whenever you get a chance. Regards.   ",low,27,,,support
Slow  performance.  Could  someone check the email server? the sales team reported something odd. Thanks in advance.,medium,17,22.7,,hr
"When you get a chance. Hi team, Is there any chance we could look at my desk chair eventually? Let me know.",low,22,38.8,5,support
"Idea for <b>later.</b> Hi team, Would be nice to tidy up the coffee machine when there is time. No rush at all. Let me know.",low,25,78.5,4,engineering
the warehouse scanners problem. the whole office is blocked because the warehouse scanners keeps timing out! Needs resolving within the hour. Cheers.,high,22,11.0,,support
"the API gateway problem. Team, the API gateway is rejecting valid requests and the finance team has no workaround. Needs looking at immediately. This affects every branch. Cheers.",high,28,11.0,,finance
the mobile <b>app</b> problem. the mobile app is rejecting valid requests and the support desk has no workaround! We need this ASAP. Let me know if you need more detail. Thanks. Low priority I imagine.,high,35,7.3,,operations
"Minor thing. Hello, Small suggestion about the font on the intranet for whenever you get to it. Logged this at 15:19 today. Thank you.",low,24,85.7,,operations
"Please take a look. Morning, We are seeing occasional timeouts on the email server. Please action right away. Appreciate it.",medium,20,9.5,,finance
"When  you  get  a chance. Morning, Small suggestion about the meeting room projector for whenever you get to it. Only if you have time. Regards.",low,,78.2,,support
"Minor thing. Hey, No action needed right now, just noting the meeting room projector. No rush at all. Let me know if you need more detail. Thanks in advance.",low,,32.4,,engineering
the login page FULL OUTAGE. the login page is completely down and everyone cannot work at all! Needs looking at immediately. All users are hitting this. Please escalate this. Not totally sure. Happy to give more information. Regards.,critical,,2.6,,finance
"Idea for later. Hi, Small suggestion about the office plant rota for whenever you get to it. Low priority I imagine. Ticket reference REF-39131. Thank you.",low,26,94.7,4,finance
"URGENT: the payment gateway down. Hi, the payment gateway has been wiped and the backups are failing as well! This is urgent. This is affecting all customers. We need this fixed by end of day. Thanks in advance.",critical,38,1.5,2,operations
"Slow performance. Hi all, A few people in the whole office have mentioned the print server being awkward. Escalating to the director. No rush at all. I think, anyway. Let me know if you need more detail. Thank you.",medium,39,44.9,4,support
"the  API  gateway  not working. Hey, everyone is blocked because the API gateway keeps timing out. Needs looking at immediately. I have restarted my machine already.",high,26,6.0,3,operations
"Small suggestion. Team, Small suggestion about my desk chair for whenever you get to it. Regards.",low,16,,,engineering
"Question about the mobile app. Morning, Could someone check the mobile app? the support desk reported something odd. Only if you have time. Let me know if you need more detail. Thank you.",medium,33,21.2,,sales
"Repeated failures. <b>Hi,</b> the email server is failing repeatedly and the finance team cannot complete their work. The whole company is affected. Many thanks.",medium,24,7.0,,hr
"the invoice tool not working. Hi, the night shift is blocked because the invoice tool keeps timing out. Thank you.",high,20,11.4,,support
"Issue report. Team, the warehouse scanners is running slower than usual for everyone. Whenever you get a chance. Happy to give more information. Thanks.",medium,,,,hr
"Low priority note. Hi all, Is there any chance we could look at the staff photo page eventually? I think, anyway. Cheers.",low,22,62.9,,
"Issue report. Hi all, We are seeing occasional timeouts on the mobile app. Deadline is tonight. Escalating to the director. Many thanks.",medium,22,28.6,,sales
"Need help <b>with</b> the email server. Hello, We have lost access to the email server and the finance team is stuck! This is time critical. This is affecting all customers. Let me know.",high,33,,,hr
"Question about the API gateway. Hello, the API gateway is running slower than usual for the support desk. Many thanks.",high,20,28.0,5,operations
"Small suggestion. Hello, Is there any chance we could look at the coffee machine eventually? Whenever you get a chance. Thanks in advance.",low,23,23.7,,finance
"the login page problem. Hi all, everyone is blocked because the login page keeps timing out! This is time critical. Cheers.",high,21,,,finance
"the mobile app not working. Hey, Errors on the mobile app are now stopping the night shift from processing anything. We need this ASAP. Let me know if you need more detail. Appreciate it.",high,34,7.9,,hr
"Emergency. Hi all, We have a full outage on the mobile app affecting ALL customers. Deadline is tonight. Low priority I imagine. Thanks in advance.",critical,25,0.3,,hr
Please take a look. We are seeing occasional timeouts on the mobile app! We need this fixed by end of day. I can send a screenshot if that helps.,medium,29,27.9,,engineering
"Slow performance. Hi team, the mobile app threw an error once this morning but recovered. Please action right away. Deadline is tonight. Raising this formally. Let me know if you need more detail. Regards.",medium,34,18.9,,support
"Minor  thing.  Hey,  No action needed right now, just noting the parking spreadsheet. Whenever you get a chance. Happy to give more information. Thanks in advance.",low,26,,5,finance
"Low priority note. Hi all, Would be nice to tidy up the font on the intranet when there is time. Whenever you get a chance. Thanks in advance.",medium,28,19.5,,support
